1.380485534934770253e+38,3.268803194267739008e+38,2.918979519947145525e+38,2.073550919973278180e+38,3.686145825993753660e+36,1.845168129499177272e+38
3.347312617826426233e+38,2.927126804126646400e+38,3.202066481323459887e+38,1.693222764345188944e+38,1.520302521106087357e+38,5.290699501947642448e+36
8.606703848136368057e+36,3.306022099458775951e+38,1.068031438257810157e+38,1.433375413675415941e+38,1.526408461231966235e+37,2.013239382384787711e+38
1.137066272463087627e+38,4.690273680760107921e+37,2.111845314415098118e+38,3.484622901158408440e+37,2.837687324131239810e+38,8.277819486167572296e+37
2.864751615617914108e+38,1.714704877376085217e+38,9.150785896830397606e+37,3.329541219590186518e+38,3.010277045425737763e+37,6.513508270992984454e+37
2.444034317731324569e+38,4.004351446862236953e+37,2.055522542143558060e+38,4.683743204852144807e+37,6.923997469474983593e+37,1.596254482484025056e+38
1.695963508947423912e+38,1.012938673193006212e+37,9.192440763550295284e+37,2.343084389346388205e+38,1.437034911447296719e+38,1.605780422325549108e+38
1.399761911789378072e+38,2.845727990130239889e+38,6.573516281735281993e+37,2.271080789133417859e+38,7.254619134532858607e+37,1.629160527615420000e+38
3.324969071652981118e+38,1.139003153863428540e+38,1.634145010592028045e+38,1.740486602048740646e+38,1.524948084950186459e+38,1.055874857141485272e+38
2.406050002455745359e+38,8.500733248247393915e+37,2.889277606643924094e+38,2.178147673903693652e+38,2.581697540503156083e+38,1.265708789332400108e+38
3.042939059165160580e+38,2.624839089871809449e+38,9.381859357175996584e+36,2.524961791993697549e+38,9.611261720351484847e+37,1.903064035349116698e+38
2.843307327438644890e+38,2.844421738421322810e+37,1.212511329125669864e+38,1.521864525866960185e+38,1.633322141293375340e+38,1.839337372999556630e+38
9.730387957741480206e+37,4.135126035360787031e+37,4.323765790554391851e+37,1.171680186138755676e+38,3.162001156833518016e+38,9.597165064423436259e+37
1.583615095351342720e+38,2.285693597252958595e+38,2.295872947739753234e+38,9.122196250533777644e+37,1.367459606877237183e+38,2.490900814179709917e+38
2.391445038577229081e+38,4.977009710372781099e+36,1.994875930905888758e+38,2.650753285125974941e+38,2.795482673785422290e+38,8.141005681492427820e+36
3.095858912989396089e+38,2.108677801961860499e+38,2.115777143590255947e+36,1.462555454866383907e+37,2.290528724694422646e+38,2.716275137001589611e+38
